GEOID,tract_geoid,NAME,state,county,tract,total_population,median_age,median_household_income,male_population,female_population,male_share,female_share,youth_population,senior_population,youth_population_share,senior_population_share,poverty_status_population,poverty_count,poverty_rate,civilian_labor_force,unemployed_count,unemployment_rate,race_ethnicity_total,white_non_hispanic,black_non_hispanic,american_indian_alaska_native_non_hispanic,asian_non_hispanic,native_hawaiian_pacific_islander_non_hispanic,other_race_non_hispanic,two_or_more_races_non_hispanic,hispanic_or_latino,white_non_hispanic_share,black_non_hispanic_share,american_indian_alaska_native_non_hispanic_share,asian_non_hispanic_share,native_hawaiian_pacific_islander_non_hispanic_share,other_race_non_hispanic_share,two_or_more_races_non_hispanic_share,hispanic_or_latino_share,total_housing_units,occupied_housing_units,vacant_housing_units,housing_vacancy_rate,occupied_units_tenure_total,owner_occupied_units,renter_occupied_units,owner_occupancy_share,renter_occupancy_share,education_population_25_plus,high_school_or_higher_count,bachelors_or_higher_count,high_school_or_higher_rate,bachelors_or_higher_rate,average_household_size
37063001900,37063001900,Census Tract 19; Durham County; North Carolina,37,63,1900,6627.0,61.5,113938.0,3054.0,3573.0,46.08,53.92,590.0,2789.0,8.9,42.09,6627.0,82.0,1.24,3022.0,169.0,5.59,6627.0,4563.0,1012.0,11.0,348.0,0.0,0.0,160.0,533.0,68.85,15.27,0.17,5.25,0.0,0.0,2.41,8.04,3524.0,3386.0,138.0,3.92,3386.0,2984.0,402.0,88.13,11.87,5794.0,5611.0,3330.0,96.84,57.47,1.96
37063002007,37063002007,Census Tract 20.07; Durham County; North Carolina,37,63,2007,5275.0,43.8,93601.0,2368.0,2907.0,44.89,55.11,964.0,1155.0,18.27,21.9,5275.0,413.0,7.83,2939.0,37.0,1.26,5275.0,2916.0,1888.0,0.0,186.0,0.0,11.0,63.0,211.0,55.28,35.79,0.0,3.53,0.0,0.21,1.19,4.0,2595.0,2495.0,100.0,3.85,2495.0,1873.0,622.0,75.07,24.93,4034.0,3979.0,2629.0,98.64,65.17,2.11
37063002008,37063002008,Census Tract 20.08; Durham County; North Carolina,37,63,2008,3878.0,48.2,221250.0,1875.0,2003.0,48.35,51.65,971.0,804.0,25.04,20.73,3878.0,86.0,2.22,1766.0,73.0,4.13,3878.0,3089.0,402.0,23.0,54.0,0.0,30.0,177.0,103.0,79.65,10.37,0.59,1.39,0.0,0.77,4.56,2.66,1461.0,1418.0,43.0,2.94,1418.0,1336.0,82.0,94.22,5.78,2782.0,2751.0,2332.0,98.89,83.82,2.73
37063002009,37063002009,Census Tract 20.09; Durham County; North Carolina,37,63,2009,5479.0,44.3,51618.0,2625.0,2854.0,47.91,52.09,1151.0,1069.0,21.01,19.51,5449.0,1213.0,22.26,2457.0,131.0,5.33,5479.0,144.0,3558.0,0.0,32.0,0.0,22.0,132.0,1591.0,2.63,64.94,0.0,0.58,0.0,0.4,2.41,29.04,2194.0,2082.0,112.0,5.1,2082.0,1382.0,700.0,66.38,33.62,3991.0,3374.0,882.0,84.54,22.1,2.62
37063002013,37063002013,Census Tract 20.13; Durham County; North Carolina,37,63,2013,4888.0,42.4,124773.0,2260.0,2628.0,46.24,53.76,848.0,1053.0,17.35,21.54,4888.0,212.0,4.34,2980.0,30.0,1.01,4888.0,2772.0,1357.0,2.0,256.0,0.0,129.0,182.0,190.0,56.71,27.76,0.04,5.24,0.0,2.64,3.72,3.89,2106.0,2106.0,0.0,0.0,2106.0,1909.0,197.0,90.65,9.35,3765.0,3557.0,2558.0,94.48,67.94,2.32
37063002015,37063002015,Census Tract 20.15; Durham County; North Carolina,37,63,2015,4961.0,34.3,70158.0,2455.0,2506.0,49.49,50.51,1167.0,731.0,23.52,14.73,4934.0,669.0,13.56,2581.0,39.0,1.51,4961.0,2146.0,648.0,0.0,391.0,0.0,0.0,198.0,1578.0,43.26,13.06,0.0,7.88,0.0,0.0,3.99,31.81,2569.0,2363.0,206.0,8.02,2363.0,520.0,1843.0,22.01,77.99,3195.0,2865.0,1775.0,89.67,55.56,2.08
37063002019,37063002019,Census Tract 20.19; Durham County; North Carolina,37,63,2019,4704.0,33.2,74310.0,2101.0,2603.0,44.66,55.34,602.0,970.0,12.8,20.62,4635.0,603.0,13.01,2761.0,183.0,6.63,4704.0,3279.0,761.0,0.0,478.0,0.0,21.0,64.0,101.0,69.71,16.18,0.0,10.16,0.0,0.45,1.36,2.15,2763.0,2459.0,304.0,11.0,2459.0,1304.0,1155.0,53.03,46.97,3417.0,3417.0,2967.0,100.0,86.83,1.88
37063002020,37063002020,Census Tract 20.20; Durham County; North Carolina,37,63,2020,10050.0,43.1,193449.0,4911.0,5139.0,48.87,51.13,2566.0,1270.0,25.53,12.64,10025.0,100.0,1.0,5795.0,61.0,1.05,10050.0,5262.0,2464.0,13.0,1126.0,0.0,123.0,670.0,392.0,52.36,24.52,0.13,11.2,0.0,1.22,6.67,3.9,3784.0,3705.0,79.0,2.09,3705.0,3568.0,137.0,96.3,3.7,7199.0,7172.0,6086.0,99.62,84.54,2.71
37063002021,37063002021,Census Tract 20.21; Durham County; North Carolina,37,63,2021,4866.0,31.1,91607.0,2018.0,2848.0,41.47,58.53,1167.0,443.0,23.98,9.1,4847.0,122.0,2.52,3149.0,47.0,1.49,4866.0,1834.0,1778.0,0.0,336.0,0.0,0.0,168.0,750.0,37.69,36.54,0.0,6.91,0.0,0.0,3.45,15.41,2340.0,2188.0,152.0,6.5,2188.0,885.0,1303.0,40.45,59.55,3208.0,3102.0,1889.0,96.7,58.88,2.21
37063002022,37063002022,Census Tract 20.22; Durham County; North Carolina,37,63,2022,4877.0,34.6,80689.0,1968.0,2909.0,40.35,59.65,1005.0,627.0,20.61,12.86,4822.0,475.0,9.85,2984.0,92.0,3.08,4877.0,1707.0,1474.0,11.0,246.0,0.0,267.0,234.0,938.0,35.0,30.22,0.23,5.04,0.0,5.47,4.8,19.23,2383.0,2315.0,68.0,2.85,2315.0,999.0,1316.0,43.15,56.85,3537.0,3500.0,2315.0,98.95,65.45,2.1
